MATNR;MAKTX
RC010128;TAPE ST46WNX1_20 WHI/GRN FL L
RC010127;TAPE ST46WNC3 WHI/BLUE R
RC010126;TAPE ST46WNC3 WHI/BLUE L
RC010022;TAPE NW ST46WNC3 01 WHI/WHI FL R SP
RC010023;TAPE NW ST46WNC3 01 WHI/WHI FL L SP
RC010005;TAPE NW ST45WN1 03 WHI/WHI FL R SP
RC010006;TAPE NW ST45WN1 03 WHI/WHI FL L SP
RC010130;TAPE NW NST4612-01 WHI/WHI R
RC010131;TAPE NW NST4612-01 WHI/WHI L
RSC01093;TAPE NW NGFHL2 WHI R SP
RSC01092;TAPE NW NGFHL2 WHI L SP
RSC01114;TAPE NW CP2XY COM71NGFHL2H8 WHI/BLU FL-R
RSC01115;TAPE NW CP2XY COM71NGFHL2H8 WHI/BLU FL-L
RC010144;TAPE NW ANST6012-01 WHI/BLU R SP
RC010143;TAPE NW ANST6012-01 WHI/BLU L SP
RSC01153;TAPE NW 71mm  WHI/WHI FL BAFT- R
RC010132;TAPE NW 60mm Korozo WHI R SP
RC010133;TAPE NW 60mm Korozo WHI L SP
RSC01151;TAPE NW 46 WHI/WHI FL BAFT-  R
RSC01150;TAPE NW 46 WHI/WHI FL BAFT-  L
RSC01152;TAPE NW  71mm  WHI/WHI FL BAFT-  L
RC010142;TAPE NST4612-01 WHI/BLUE FL-  R
RC010141;TAPE NST4612-01 WHI/BLUE FL-  L
RC010062;TAPE LW HOOKS 45 PUR R
RC010063;TAPE LW HOOKS 45 PUR L
RC010066;TAPE HOOKS 47 R BLUE NW
RC010067;TAPE HOOKS 47 L BLUE NW
RC010096;TAPE Fingerlift S4456 WHI
RSC01094;TAPE FL Combi 71 NG FHL2 H6 R
RSC01095;TAPE FL Combi 71 NG FHL2 H6 L
RSC01106;TAPE DISP TRA/PUR FL SP
RC010042;TAPE DISP STD69TF0_05R TRA/WHI FL SP
RC010041;TAPE DISP STD69TF0_04R TRA/PUR FL SP
RC010056;TAPE CP2MY46NGH1 R
RC010057;TAPE CP2MY46NGH1 L
RC010059;TAPE CP2 XY 71 NG FHL2 BLU R
RC010061;TAPE CP2 XY 71 NG FHL2 BLU L
RC010070;TAPE CP 2 MY 46 NG FHL1 H9 WHI/WHI FL R
RC010071;TAPE CP 2 MY 46 NG FHL1 H9 WHI/WHI FL L
RC010064;TAPE CP 2 MY 46 NG FHL1 H9 BLUE FL R
RC010065;TAPE CP 2 MY 46 NG FHL1 H9 BLUE FL L
RC010058;TAPE 71MM WHITE R
RC010060;TAPE 71 MM WHITE L
RSC01090;TAPE 3-LANE WHI R SP
RSC01091;TAPE 3-LANE WHI L SP
RSN01206;Super Soft Topsheet NW Air Through Bond
RSN01207;Super Soft Topsheet NW Air Through Bond
RO010013;Strip for NaNi samples
RO550033;Stretch film 23 mcm 500 auto
RO550034;Stretch film 20mcm 500 manual
RO550020;Stretch film 20 my 500 mm automat
RO550021;Stretch film 20 mcm 500 auto
RO550047;Stretch film 17mkm 500 auto
RO550018;Stretch film 17 mcm 500 manual
RO550053;Stretch film 17 mcm 500 auto
RO550045;Stretch film 15 mkm 500 auto
RO550022;Stretch film 12 my 450 mm manual
RO550044;Stretch film 12 mkm 500 auto
RO550054;Strecth foil 20 MKM
RO055901;STRETCH FOIL 20MCM 500 AUTO
RO055900;STRETCH FOIL 17MCM 500
RO550026;STRETCH FILM FOR WASTE 2500CM
RO550027;STRETCH FILM 17MCM 450 MANUAL
RP090031;STRAP TAPES WASTE
RP075035;STICKER Little times pure nature
RSL01246;STBS 220/28g WHI UP SOHIM
RP090034;STAINLESS STEEL WASTE
RA050004;SPUNLACE IDSLXB01789 100VIS 170/80G
RO510008;SOLVENT V820A-D
RO510009;SOLVENT V705  A-D
RO510010;SOLVENT 201-0001-262
RP090004;SLEEVE FOR SEMI-FINISHED NONWOVEN MATERI
RP090015;SLEEVE FOR SEMI-FINISHED NONWOVEN MATERI
RC040115;SILICON PAPER WHI 45/51g  FSC
RC040118;SILIC PAP 75/51g WHI UP
RC040195;SILIC PAP 75/51g UP WHI
RSC04021;SILIC PAP 75/50g WHI UP NEVA-SODIS
RSC04024;SILIC PAP 75/50g WHI UP NEVA-SODIS
RSC04010;SILIC PAP 75/36g WHI BLU
RC040002;SILIC PAP 70/36g WHI UP - "SP"
RC040110;SILIC PAP 65/51G VIO PANTONE 2597C
RC040183;SILIC PAP 65/51G VIO PANTONE 2597C
RC040170;SILIC PAP 65/51 g PEFC WHI UP SODIS
RSC04020;SILIC PAP 65/50g WHI UP NEVA-SODIS
RSC04023;SILIC PAP 65/50g WHI UP NEVA-SODIS
RC040105;SILIC PAP 65/39G UP WHI ROSSELLA
RC040188;SILIC PAP 65/36g UP WHI Pasaco
RC040190;SILIC PAP 65/36g PNK
RC040191;SILIC PAP 65/36g GRN
RC040121;SILIC PAP 65/36g BLU P7466 JENNA
RC040192;SILIC PAP 65/36g BLU
RC040117;SILIC PAP 65/36G WHI PANTONE 367 PASACO
RC040108;SILIC PAP 65/36G UP WHI PASACO
RC040114;SILIC PAP 65/36G UP WHI FSC PASACO
RC040157;SILIC PAP 65/35g WHI UP NEVA-SODIS
RSC04013;SILIC PAP 65/35g WHI UP
RSC04017;SILIC PAP 65/35g WHI NEVA-SODIS
RC040111;SILIC PAP 65/35G PIN PANTONE 211C
RC040005;SILIC PAP 60/36G WHI UP - "SP"
RSC04007;SILIC PAP 50/88G UP WHI CC88
RSC04006;SILIC PAP 50/67G UP WHI CC67
RSC04005;SILIC PAP 50/61G UP WHI CC61
RC040168;SILIC PAP 50/51g PEFC WHI UP SODIS
RC040185;SILIC PAP 50/51g PEFC WHI UP
RC040120;SILIC PAP 50/51g PASACO
